Date,Open,High,Low,close,adj_close,Volume,daily_returns_adj,daily_fwd_returns_adj
18-Dec-23,41348.2,42720.3,40530.26,42623.54,42623.54,25224642008,-0.029534853,0.030433708
17-Dec-23,42236.11,42359.5,41274.54,41364.66,41364.66,16678702876,0.021164443,-0.020725793
16-Dec-23,41937.74,42664.95,41723.11,42240.12,42240.12,14386729590,-0.007347517,0.007401903
15-Dec-23,43028.25,43087.82,41692.97,41929.76,41929.76,19639442462,0.026096262,-0.025432567
14-Dec-23,42884.26,43390.86,41767.09,43023.97,43023.97,25578530178,-0.003096646,0.003106265
13-Dec-23,41468.46,43429.78,40676.87,42890.74,42890.74,26797884674,-0.033585804,0.034753012
12-Dec-23,41238.73,42048.3,40667.56,41450.22,41450.22,24779520132,-0.004979226,0.005004142
11-Dec-23,43792.02,43808.38,40234.58,41243.83,41243.83,40632672038,0.061484833,-0.057923421
10-Dec-23,43728.38,44034.63,43593.29,43779.7,43779.7,13000481418,-0.001227053,0.00122856
09-Dec-23,44180.02,44361.26,43627.6,43725.98,43725.98,17368210171,0.010076847,-0.009976317
08-Dec-23,43293.14,44705.52,43125.3,44166.6,44166.6,24421116687,-0.019787351,0.020186794
07-Dec-23,43769.13,44042.59,42880.65,43292.66,43292.66,27635760671,0.010481915,-0.010373185
06-Dec-23,44080.02,44265.77,43478.08,43746.45,43746.45,29909761586,0.007639477,-0.007581558
05-Dec-23,41986.27,44408.66,41421.15,44080.65,44080.65,36312154535,-0.047652428,0.050036803
04-Dec-23,39978.63,42371.75,39978.63,41980.1,41980.1,39856129827,-0.047682354,0.0500698
03-Dec-23,39472.21,40135.61,39298.16,39978.39,39978.39,15769696322,-0.012558285,0.012718001
02-Dec-23,38689.28,39678.94,38652.59,39476.33,39476.33,15534035612,-0.019950689,0.020356822
01-Dec-23,37718.01,38954.11,37629.36,38688.75,38688.75,23512784002,-0.025226972,0.025879842
30-Nov-23,37861.12,38141.75,37531.14,37712.75,37712.75,18115982627,0.003864476,-0.003849599
29-Nov-23,37826.11,38366.11,37612.63,37858.49,37858.49,20728546658,-0.000723748,0.000724272
28-Nov-23,37247.99,38368.48,36891.09,37831.09,37831.09,21696137014,-0.015249891,0.015486052
27-Nov-23,37454.19,37559.36,36750.13,37254.17,37254.17,19002925720,0.00603825,-0.006002009
26-Nov-23,37796.83,37820.3,37162.75,37479.12,37479.12,13744796068,0.008475919,-0.008404682
25-Nov-23,37721.41,37892.43,37617.42,37796.79,37796.79,9099571165,-0.002024246,0.002028352
24-Nov-23,37296.32,38415.34,37261.61,37720.28,37720.28,22922957823,-0.011417201,0.011549058
23-Nov-23,37420.43,37643.92,36923.86,37289.62,37289.62,14214948217,0.003827339,-0.003812746
22-Nov-23,35756.55,37856.98,35670.97,37432.34,37432.34,24397247860,-0.043238814,0.045192902
21-Nov-23,37469.16,37631.14,35813.81,35813.81,35813.81,25172163756,0.04643879,-0.044377932
20-Nov-23,37374.07,37756.82,36882.53,37476.96,37476.96,20888209068,-0.002412416,0.002418249
19-Nov-23,36585.77,37509.36,36414.6,37386.55,37386.55,12915986553,-0.021420805,0.0218897
18-Nov-23,36625.37,36839.28,36233.31,36585.7,36585.7,11886022717,0.000300117,-0.000300027
17-Nov-23,36164.82,36704.48,35901.23,36596.68,36596.68,22445028430,-0.012075139,0.01222273
16-Nov-23,37879.98,37934.63,35545.47,36154.77,36154.77,26007385366,0.04773395,-0.045559229
15-Nov-23,35548.11,37964.89,35383.78,37880.58,37880.58,27365821679,-0.06185069,0.065928407
14-Nov-23,36491.79,36753.35,34948.5,35537.64,35537.64,23857403554,0.027146428,-0.026428976
13-Nov-23,37070.3,37405.12,36399.61,36502.36,36502.36,19057712790,0.015126693,-0.014901286
12-Nov-23,37133.99,37227.69,36779.12,37054.52,37054.52,11545715999,0.002254246,-0.002249176
11-Nov-23,37310.07,37407.09,36773.67,37138.05,37138.05,13924272142,0.004736921,-0.004714588
10-Nov-23,36702.25,37493.8,36362.75,37313.97,37313.97,22711265155,-0.016638272,0.016919789
09-Nov-23,35633.63,37926.26,35592.1,36693.13,36693.13,37762672382,-0.028284586,0.029107891
08-Nov-23,35419.48,35994.42,35147.8,35655.28,35655.28,17295394918,-0.00593797,0.005973441
07-Nov-23,35047.79,35892.42,34545.82,35443.56,35443.56,18834737789,-0.011460192,0.011593051
06-Nov-23,35044.79,35286.03,34765.36,35037.37,35037.37,12693436420,0.000342206,-0.000342089
05-Nov-23,35090.01,35340.34,34594.24,35049.36,35049.36,12412743996,0.000936964,-0.000936087
04-Nov-23,34736.32,35256.03,34616.69,35082.2,35082.2,9561294264,-0.009973149,0.010073614
03-Nov-23,34942.47,34942.47,34133.44,34732.32,34732.32,17158456701,0.005928772,-0.005893829
02-Nov-23,35441.58,35919.84,34401.57,34938.24,34938.24,20998158544,0.014282631,-0.01408151
01-Nov-23,34657.27,35527.93,34170.69,35437.25,35437.25,22446272005,-0.021713592,0.022195537
31-Oct-23,34500.08,34719.25,34083.31,34667.78,34667.78,15758270810,-0.004771578,0.004794455
30-Oct-23,34531.74,34843.93,34110.97,34502.36,34502.36,17184860315,0.001046885,-0.00104579
29-Oct-23,34089.37,34743.26,33947.57,34538.48,34538.48,11160323986,-0.012997387,0.013168544
28-Oct-23,33907.72,34399.39,33874.8,34089.57,34089.57,10160330825,-0.00527346,0.005301417
27-Oct-23,34156.5,34238.21,33416.89,33909.8,33909.8,16418032871,0.007279606,-0.007226997
26-Oct-23,34504.29,34832.91,33762.32,34156.65,34156.65,19427195376,0.010134776,-0.010033093
25-Oct-23,33916.04,35133.76,33709.11,34502.82,34502.82,25254318008,-0.017427271,0.017736368
24-Oct-23,33077.3,35150.43,32880.76,33901.53,33901.53,44934999645,-0.024049062,0.024641671
23-Oct-23,30140.69,34370.44,30097.83,33086.23,33086.23,38363572311,-0.093462749,0.10309863
22-Oct-23,29918.65,30199.43,29720.31,29993.9,29993.9,10446520040,-0.002516845,0.002523196
21-Oct-23,29683.38,30287.48,29481.75,29918.41,29918.41,11541146996,-0.007870071,0.0079325
20-Oct-23,28732.81,30104.09,28601.67,29682.95,29682.95,21536125230,-0.032447584,0.033535737
