Date,Open,High,Low,Close ,Adj_Close ,Volume,daily_returns,prct_returns
2023-10-07,27946.78,28028.09,27870.42,27968.84,27968.84,6553044316,-0.0012067,-0.0012067
2023-10-08,27971.68,28102.17,27740.66,27935.09,27935.09,7916875290,-0.012579519,-0.012579519
2023-10-09,27934.47,27989.47,27302.56,27583.68,27583.68,12007668568,-0.006984565,-0.006984565
2023-10-10,27589.2,27715.85,27301.65,27391.02,27391.02,9973350678,-0.018900355,-0.018900355
2023-10-11,27392.08,27474.12,26561.1,26873.32,26873.32,13648094333,-0.004335899,-0.004335899
2023-10-12,26873.29,26921.44,26558.32,26756.8,26756.8,9392909295,0.003945913,0.003945913
2023-10-13,26752.88,27092.7,26686.32,26862.38,26862.38,15165312851,-2.49419E-05,-2.49419E-05
2023-10-14,26866.2,26969,26814.59,26861.71,26861.71,5388116782,0.011091624,0.011091624
2023-10-15,26858.01,27289.17,26817.89,27159.65,27159.65,7098201980,0.050067656,0.050067656
2023-10-16,27162.63,29448.14,27130.47,28519.47,28519.47,27833876539,-0.003636814,-0.003636814
2023-10-17,28522.1,28618.75,28110.19,28415.75,28415.75,14872527508,-0.003076111,-0.003076111
2023-10-18,28413.53,28889.01,28174.25,28328.34,28328.34,12724128586,0.013819024,0.013819024
2023-10-19,28332.42,28892.47,28177.99,28719.81,28719.81,14448058195,0.033535737,0.033535737
2023-10-20,28732.81,30104.09,28601.67,29682.95,29682.95,21536125230,0.0079325,0.0079325
2023-10-21,29683.38,30287.48,29481.75,29918.41,29918.41,11541146996,0.002523196,0.002523196
2023-10-22,29918.65,30199.43,29720.31,29993.9,29993.9,10446520040,0.10309863,0.10309863
2023-10-23,30140.69,34370.44,30097.83,33086.23,33086.23,38363572311,0.024641671,0.024641671
2023-10-24,33077.3,35150.43,32880.76,33901.53,33901.53,44934999645,0.017736368,0.017736368
2023-10-25,33916.04,35133.76,33709.11,34502.82,34502.82,25254318008,-0.010033093,-0.010033093
2023-10-26,34504.29,34832.91,33762.32,34156.65,34156.65,19427195376,-0.007226997,-0.007226997
2023-10-27,34156.5,34238.21,33416.89,33909.8,33909.8,16418032871,0.005301417,0.005301417
2023-10-28,33907.72,34399.39,33874.8,34089.57,34089.57,10160330825,0.013168544,0.013168544
2023-10-29,34089.37,34743.26,33947.57,34538.48,34538.48,11160323986,-0.00104579,-0.00104579
2023-10-30,34531.74,34843.93,34110.97,34502.36,34502.36,17184860315,0.004794455,0.004794455
2023-10-31,34500.08,34719.25,34083.31,34667.78,34667.78,15758270810,0.022195537,0.022195537
2023-11-01,34657.27,35527.93,34170.69,35437.25,35437.25,22446272005,-0.01408151,-0.01408151
2023-11-02,35441.58,35919.84,34401.57,34938.24,34938.24,20998158544,-0.005893829,-0.005893829
2023-11-03,34942.47,34942.47,34133.44,34732.32,34732.32,17158456701,0.010073614,0.010073614
2023-11-04,34736.32,35256.03,34616.69,35082.2,35082.2,9561294264,-0.000936087,-0.000936087
