Feature,MI
X674,0.04478100280309061
X586,0.04476982574944177
X326,0.04474949019549346
X486,0.04470911107231057
X415,0.04460473286605371
X749,0.04452456260627802
X36,0.04426527047304951
X530,0.04424531627732797
X832,0.044132541803036496
X822,0.04398660373789287
X806,0.04392184060577975
X696,0.043845263660243994
X335,0.04375708730901717
X109,0.04343731522804539
X430,0.04341387934418783
X748,0.04322738490526401
X168,0.04318962044973773
X80,0.04318619706692495
X122,0.043176868788765255
X164,0.04309093493910421
X124,0.042810536161660195
X166,0.04275323612550608
X776,0.04275127078879315
X825,0.042714863846639695
X824,0.042701891076744936
X821,0.04260004275756035
X34,0.04251900135511821
buy_qty,0.042298723149305495
X741,0.0422738234756741
X737,0.042210660165254765
X722,0.042113393933602694
X583,0.04204627607456102
X744,0.0420027188981571
X745,0.041837628304886465
X493,0.041834883768089526
X369,0.04182302758882983
X411,0.04180500035176138
X492,0.04177417216054469
X534,0.04172886861245573
X327,0.041685037946346704
sell_qty,0.04160279765020469
X463,0.04157233248657377
X664,0.04154339403509244
X848,0.04141384194065889
X55,0.041374426402093434
X817,0.04131587192817854
X44,0.04127864101393719
X802,0.04124330651645458
X53,0.041145889748197106
X818,0.04110703751186229
X84,0.04107663027986508
X734,0.04101670841756633
X670,0.040986053397607414
X874,0.04097898251479304
X778,0.040972535481837546
X52,0.040805440441920915
X846,0.04075599398931651
X690,0.0407324692369917
X485,0.0404875867124197
X183,0.040452003008127235
X736,0.04037533573722207
X320,0.04020468616102679
X805,0.04016729856082435
X377,0.04015377219501737
X272,0.04011691071510093
X51,0.04010583170958615
X820,0.04009609603243458
X542,0.0400694980274523
X677,0.04000932948778857
X38,0.039973770026402455
X419,0.03992027806783138
X816,0.03985094467077843
X40,0.03984061870746647
X54,0.039780250528301586
X35,0.03969966384902879
X237,0.03964870398344633
X459,0.03963251176165539
X350,0.03960018507299079
X56,0.039567278513147564
X431,0.03950738892855199
X244,0.039405113680808235
X804,0.039214606117709216
X366,0.03910789340385712
X740,0.03898703987688634
X48,0.03893644480967229
X85,0.03886283076772035
X33,0.038843642905284526
X42,0.03867906116340247
X721,0.038434543815459854
X50,0.03840247252450091
X408,0.03837682304111656
X46,0.038311005406635346
X444,0.038262612130439244
X135,0.03825172661713783
X236,0.03822840151241458
X798,0.03814689355392442
X77,0.03814650479156434
X480,0.03801998739323764
X523,0.03796389994667493
X243,0.037935097747329394
X683,0.0378939861145291
X732,0.03777167585366925
X373,0.037682894701180025
X849,0.03761849718221111
X452,0.03759042680446534
X591,0.037463527244410155
X241,0.03741474618832985
X680,0.03726910010450002
X280,0.03711695989525232
X214,0.03693204361193825
X801,0.03692262837586391
